build,version,platforms
115073,4.3,FreeBSD7-amd64;freebsd-6.2-amd64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;HPUX-ia64;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;freebsd-6.1-intel;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
119532,4.3.1,FreeBSD7-amd64;freebsd-6.2-amd64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;SunOS-i386;freebsd-7.3-intel;HPUX-ia64;SunOS-x86_64;freebsd-6.1-intel;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
123586,4.3.2,FreeBSD7-amd64;freebsd-6.2-amd64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;SunOS-i386;freebsd-7.3-intel;HPUX-ia64;SunOS-x86_64;freebsd-6.1-intel;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
128297,4.3.3,FreeBSD7-amd64;freebsd-6.2-amd64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;SunOS-i386;freebsd-7.3-intel;HPUX-ia64;SunOS-x86_64;freebsd-6.1-intel;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
136012,4.3.4,FreeBSD7-amd64;freebsd-6.2-amd64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;HPUX-ia64;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;freebsd-6.1-intel;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
140437,4.3.5,FreeBSD7-amd64;freebsd-6.2-amd64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;HPUX-ia64;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;freebsd-6.1-intel;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
140868,5.0,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
143156,5.0.1,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
149561,5.0.2,FreeBSD7-amd64;freebsd-7.3-intel;linux-2.6-intel;solaris-9-intel;SunOS-x86_64;Darwin-universal;Linux-x86_64;HPUX-PARISC;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;solaris-8-sparc;HPUX-ia64;solaris-10-intel;linux-2.6-amd64;x64-windows;SunOS-i386;Linux-i686;FreeBSD7-i386;x86-windows;SunOS-sparc
153775,4.3.6,FreeBSD7-amd64;freebsd-6.2-amd64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;HPUX-ia64;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;freebsd-6.1-intel;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
163460,5.0.3,FreeBSD7-amd64;freebsd-7.3-intel;linux-2.6-intel;solaris-9-intel;SunOS-x86_64;Darwin-universal;Linux-x86_64;HPUX-PARISC;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;solaris-8-sparc;HPUX-ia64;solaris-10-intel;linux-2.6-amd64;x64-windows;SunOS-i386;Linux-i686;FreeBSD7-i386;x86-windows;SunOS-sparc
172409,5.0.4,FreeBSD7-amd64;freebsd-7.3-intel;linux-2.6-intel;solaris-9-intel;SunOS-x86_64;Darwin-universal;Linux-x86_64;HPUX-PARISC;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;solaris-8-sparc;HPUX-ia64;solaris-10-intel;linux-2.6-amd64;x64-windows;SunOS-i386;Linux-i686;FreeBSD7-i386;x86-windows;SunOS-sparc
179365,5.0.5,FreeBSD7-amd64;freebsd-7.3-intel;linux-2.6-intel;solaris-9-intel;SunOS-x86_64;Darwin-universal;Linux-x86_64;HPUX-PARISC;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;solaris-8-sparc;HPUX-ia64;solaris-10-intel;linux-2.6-amd64;x64-windows;SunOS-i386;Linux-i686;FreeBSD7-i386;x86-windows;SunOS-sparc
181874,4.3.7,FreeBSD7-amd64;freebsd-6.2-amd64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;AIX-powerpc;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;SunOS-i386;freebsd-7.3-intel;HPUX-ia64;SunOS-x86_64;freebsd-6.1-intel;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
182037,6.0,HPUX-ia64;SunOS9-sparc;freebsd-7.3-intel;linux-2.6-intel;solaris-9-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;solaris-9-sparc;SunOS-i386
185560,5.0.6,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
189883,6.0.1,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
192438,5.0.7,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
196940,6.0.2,HPUX-ia64;freebsd-7.3-intel;linux-2.6-intel;solaris-9-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;HPUX-PARISC;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;SunOS-i386;Linux-i686;FreeBSD7-i386;x86-windows;SunOS-sparc
201809,5.0.8,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
204106,6.0.3,HPUX-ia64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
206881,6.1.0,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;x86-windows;SunOS-sparc
207768,6.0.4,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
207789,6.1.1,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
213098,6.1.2,freebsd-7.3-intel;FreeBSD7-amd64;darwin-64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;Linux-arm;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
213964,5.0.9,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
214064,6.0.5,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;solaris-9-intel;HPUX-ia64;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-PARISC;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
220630,6.1.3,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
228831,6.0.6,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
233077,5.0.10,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
233537,6.1.4,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
237341,6.2.0,AIX-powerpc;linux-2.6-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;SunOS10-sparc;solaris-10-sparc;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;x86-windows;darwin-64
239630,6.1.5,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
241655,5.0.11,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
